Measure,,,Operating at end of financial year,Operating at start of financial year,Change,Entries,Entry rate (%),Exits,Exit rate (%),Percentage change,Change 2011-14,% Change beginning '11 to end '15
,,,,,,,,,,,,
Time,Industry,,,,,,,,,,,
2011,Total All Industries,,2 132 412,2 124 650,7 762,294 210,13.8,286 448,13.5,0.4,,
,"Agriculture, Forestry and Fishing",,198 939,204268,-5 329,14 004,6.9,19 333,9.5,-2.6,-20517,-10.04415768
,Mining,,8 242,7862,380,1 287,16.4,907,11.5,4.8,401,5.100483338
,Manufacturing,,90 571,91761,-1 190,9 497,10.3,10 687,11.6,-1.3,-7964,-8.67906845
,"Electricity, Gas, Water and Waste Services",,5 912,5733,179,913,15.9,734,12.8,3.1,186,3.244374673
,Construction,,353 860,351465,2 395,54 042,15.4,51 647,14.7,0.7,-13240,-3.767089184
,Wholesale Trade,,79 783,79216,567,10 723,13.5,10 156,12.8,0.7,-2867,-3.61921834
,Retail Trade,,144 368,143894,474,21 443,14.9,20 969,14.6,0.3,-9425,-6.549960388
,Accommodation and Food Services,,82 262,80343,1 919,14 777,18.4,12 858,16,2.4,4914,6.116276465
,"Transport, Postal and Warehousing",,132 792,135395,-2 603,18 615,13.7,21 218,15.7,-1.9,-8841,-6.529783227
,Information Media and Telecommunications,,19 015,18715,300,3 067,16.4,2 767,14.8,1.6,368,1.966337163
,Financial and Insurance Services,,164 735,161056,3 679,22 214,13.8,18 535,11.5,2.3,13629,8.462273992
,"Rental, Hiring and Real Estate Services",,227 622,225586,2 036,23 555,10.4,21 519,9.5,0.9,3691,1.636183096
,"Professional, Scientific and Technical Services",,252 704,247688,5 016,37 584,15.2,32 568,13.1,2,2866,1.157100869
,Administrative and Support Services,,82 401,81615,786,14 939,18.3,14 153,17.3,1,-2723,-3.336396496
,Public Administration and Safety,,7 790,7844,-54,1 360,17.3,1 414,18,-0.7,-514,-6.552779194
,Education and Training,,26 343,25915,428,4 077,15.7,3 649,14.1,1.7,486,1.87536176
,Health Care and Social Assistance,,101 668,98048,3 620,11 693,11.9,8 073,8.2,3.7,15189,15.49139197
,Arts and Recreation Services,,27 749,27986,-237,3 943,14.1,4 180,14.9,-0.8,-1853,-6.621167727
,Other Services,,89 936,89 156,780,12 989,14.6,12 209,13.7,0.9,,
,Unknown,,35 720,41 104,-5 384,13 488,"(v)
..",18 872,"(v)
..","(v)
..",,
2014,Total All Industries,,2 100 162,2 079 666,20 496,284 153,13.7,263 657,12.7,1,,
,"Agriculture, Forestry and Fishing",,183751,187539,-3 788,15 675,8.4,19 463,10.4,-2,,
,Mining,,8263,8 277,-14,871,10.5,885,10.7,-0.2,,
,Manufacturing,,83797,84 956,-1 159,8 417,9.9,9 576,11.3,-1.4,,
,"Electricity, Gas, Water and Waste Services",,5919,5 750,169,886,15.4,717,12.5,2.9,,
,Construction,,338225,335 329,2 896,50 689,15.1,47 793,14.3,0.9,,
,Wholesale Trade,,76349,76 226,123,9 166,12,9 043,11.9,0.2,,
,Retail Trade,,134469,135 597,-1 128,17 637,13,18 765,13.8,-0.8,,
,Accommodation and Food Services,,85257,81 853,3 404,15 615,19.1,12 211,14.9,4.2,,
,"Transport, Postal and Warehousing",,126554,125 708,846,17 926,14.3,17 080,13.6,0.7,,
,Information Media and Telecommunications,,19083,18 539,544,3 261,17.6,2 717,14.7,2.9,,
,Financial and Insurance Services,,174685,168 746,5 939,22 324,13.2,16 385,9.7,3.5,,
,"Rental, Hiring and Real Estate Services",,229277,225 016,4 261,23 237,10.3,18 976,8.4,1.9,,
,"Professional, Scientific and Technical Services",,250554,247 201,3 353,35 402,14.3,32 049,13,1.4,,
,Administrative and Support Services,,78892,78 430,462,12 818,16.3,12 356,15.8,0.6,,
,Public Administration and Safety,,7330,7 352,-22,1 147,15.6,1 169,15.9,-0.3,,
,Education and Training,,26401,25 773,628,3 891,15.1,3 263,12.7,2.4,,
,Health Care and Social Assistance,,113237,107 542,5 695,13 929,13,8 234,7.7,5.3,,
,Arts and Recreation Services,,26133,26 092,41,3 642,14,3 601,13.8,0.2,,
,Other Services,,87 887,87 053,834,11 965,13.7,11 131,12.8,1,,
